segment,planning_unit,cycle_service_level,z,safety_stock_units,reorder_point,expected_fill_rate,safety_stock_holding_cost,cycle_stock_holding_cost,ordering_cost,total_annual_cost,annual_revenue,buffer_cost_per_1000_revenue,marginal_cost_per_service_point
AX,Perfect Fitness Perfect Rip Deck,0.8,0.8416212335729143,88.1857535133633,368.453047708351,0.9897944090737129,859.6678189805436,5586.716219177613,5586.716219177612,12033.100257335771,1536561.1379014004,0.5594751798517161,
AX,Perfect Fitness Perfect Rip Deck,0.85,1.0364333894937894,108.59832876471812,388.86562295970583,0.9928974621599134,1058.6572628191027,5586.716219177613,5586.716219177612,12232.08970117433,1536561.1379014004,0.6889782884038004,39.79788876771187
AX,Perfect Fitness Perfect Rip Deck,0.9,1.2815515655446004,134.282009490187,414.54930368517466,0.9956720248185453,1309.0314209228902,5586.716219177613,5586.716219177612,12482.463859278118,1536561.1379014004,0.8519227700309635,50.07483162075746
AX,Perfect Fitness Perfect Rip Deck,0.925,1.4395314709384563,150.83527174330726,431.10256593829496,0.9969292486681429,1470.3988333586922,5586.716219177613,5586.716219177612,12643.83127171392,1536561.1379014004,0.9569413133583015,64.54696497432073
AX,Perfect Fitness Perfect Rip Deck,0.95,1.644853626951472,172.3490933042594,452.61638749924714,0.9980900265472809,1680.1236394912123,5586.716219177613,5586.716219177612,12853.556077846439,1536561.1379014004,1.0934310376910132,83.88992245300835
AX,Perfect Fitness Perfect Rip Deck,0.96,1.7506860712521692,183.43830240987722,463.7055966048649,0.9985239494384812,1788.2254113335437,5586.716219177613,5586.716219177612,12961.65784968877,1536561.1379014004,1.1637840937301462,108.10177184233125
AX,Perfect Fitness Perfect Rip Deck,0.97,1.8807936081512506,197.0710753503893,477.33836954537696,0.9989379031951049,1921.1227979692549,5586.716219177613,5586.716219177612,13094.555236324482,1536561.1379014004,1.25027423288414,132.8973866357111
AX,Perfect Fitness Perfect Rip Deck,0.98,2.0537489106318225,215.19347182157992,495.4607660165676,0.999328709916745,2097.786719616512,5586.716219177613,5586.716219177612,13271.219157971738,1536561.1379014004,1.365247804250484,176.66392164725704
AX,Perfect Fitness Perfect Rip Deck,0.99,2.3263478740408408,243.75661167147697,524.0239058664647,0.9996902182574515,2376.2309258484893,5586.716219177613,5586.716219177612,13549.663364203716,1536561.1379014004,1.5464603830172943,278.444206231977
AX,Perfect Fitness Perfect Rip Deck,0.995,2.5758293035489004,269.8974776229694,550.1647718179571,0.9998555064714403,2631.061897104826,5586.716219177613,5586.716219177612,13804.494335460053,1536561.1379014004,1.712305376080427,509.66194251267325
AX,Perfect Fitness Perfect Rip Deck,0.999,3.090232306167813,323.79704025984216,604.0643344548298,0.9999746904690768,3156.495060739631,5586.716219177613,5586.716219177612,14329.927499094858,1536561.1379014004,2.0542593346143705,1313.5829090870106
CZ,ENO Atlas Hammock Straps,0.8,0.8416212335729143,3.5278012394182534,7.366534315823946,0.9975334786340629,17.19229823329836,462.2885669684304,462.2885669684304,941.7694321701592,10521.143096601843,1.6340713243270295,
CZ,ENO Atlas Hammock Straps,0.85,1.0364333894937894,4.344390148652165,8.183123225057859,0.9982834348876529,21.171842178316165,462.2885669684304,462.2885669684304,945.748976115177,10521.143096601843,2.012313869692954,0.7959087890035623
CZ,ENO Atlas Hammock Straps,0.9,1.2815515655446004,5.371845458453444,9.210578534859136,0.9989540004754838,26.179017160317827,462.2885669684304,462.2885669684304,950.7561510971786,10521.143096601843,2.4882293606265296,1.0014349964003313
CZ,ENO Atlas Hammock Straps,0.925,1.4395314709384563,6.034045607189757,9.872778683595449,0.9992578505424907,29.40616678541593,462.2885669684304,462.2885669684304,953.9833007222768,10521.143096601843,2.794959303891004,1.2908598500392403
CZ,ENO Atlas Hammock Straps,0.95,1.644853626951472,6.894689003017283,10.733422079422976,0.9995383912246208,33.600404762390355,462.2885669684304,462.2885669684304,958.1775386992512,10521.143096601843,3.193607809900688,1.6776951907897757
CZ,ENO Atlas Hammock Straps,0.96,1.7506860712521692,7.3383040322979305,11.177037108703622,0.9996432631609982,35.76230713913082,462.2885669684304,462.2885669684304,960.3394410759917,10521.143096601843,3.3990895105952372,2.1619023767404624
CZ,ENO Atlas Hammock Straps,0.97,1.8807936081512506,7.883672318672647,11.72240539507834,0.9997433088901085,38.420091291359064,462.2885669684304,462.2885669684304,962.9972252282199,10521.143096601843,3.6517031408657608,2.6577841522282433
CZ,ENO Atlas Hammock Straps,0.98,2.0537489106318225,8.608644439284026,12.44737751568972,0.9998377603663473,41.953152272547705,462.2885669684304,462.2885669684304,966.5302862094086,10521.143096601843,3.987508951009124,3.5330609811886373
CZ,ENO Atlas Hammock Straps,0.99,2.3263478740408408,9.751290231258512,13.590023307664204,0.9999251309118412,47.521693666304984,462.2885669684304,462.2885669684304,972.0988276031658,10521.143096601843,4.51678047052261,5.568541393757274
CZ,ENO Atlas Hammock Straps,0.995,2.5758293035489004,10.797034874004767,14.635767950410461,0.9999650783205004,52.61799942556381,462.2885669684304,462.2885669684304,977.1951333624246,10521.143096601843,5.0011675482827105,10.192611518517642
CZ,ENO Atlas Hammock Straps,0.999,3.090232306167813,12.95324419692729,16.791977273332982,0.9999938831078734,63.12601595407303,462.2885669684304,462.2885669684304,987.7031498909339,10521.143096601843,5.999919911217793,26.270041321273034
